Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Fraud
3002,-0.30252069,0.447473606,-0.495757488,-3.214799282,2.705041053,2.762439585,0.593846555,0.556451026,0.697719596,-1.090180906,-0.111087964,0.062652347,-0.238457031,0.215738139,1.069355893,-0.255230525,-1.072084985,0.485110432,0.271314885,0.156089011,0.007342803,0.250885695,-0.331599689,1.00995228,0.23373018,-0.824470557,0.241305213,-0.020358638,1,0
1804,-0.448309649,0.131642388,1.056121728,-1.876677988,-0.138655031,-0.773020002,0.448098584,-0.004013222,-1.613488752,0.336234098,1.101017873,-0.091719233,0.14733015,-0.017419463,-0.673346358,1.539910922,-0.337960271,-1.246741288,0.573491345,0.329603441,-0.187811399,-0.80405306,0.178098644,-0.05781333,-0.128301996,-0.793271348,0.22877536,0.085394975,54.9,0
134574,2.105481126,0.210489695,-1.914837241,0.270057176,0.810611436,-0.454319596,0.231000229,-0.235229677,0.37069213,-0.416930745,-0.832614658,0.544799206,1.212023193,-1.08178213,0.177392473,0.369833643,0.268356758,-0.34535424,0.182444276,-0.076274913,-0.382880729,-0.936721026,0.265247358,-0.040694895,-0.163688419,0.207552763,-0.053395765,-0.034322611,1.98,0
153097,-1.885722669,0.373027348,-0.597086986,0.170270767,2.823411458,-1.716667957,-2.197452767,-2.678366858,0.738278327,0.984301326,-0.940094798,0.341985284,0.104883852,0.473956701,0.9876652,-0.622217844,-0.084960022,0.099048122,0.734884574,-1.307390699,2.474276314,0.204663865,-2.454219356,0.858729175,-1.524437973,-0.208332973,0.742140513,0.28218204,2.27,0
157110,1.713522215,-0.716793205,0.159628406,1.109598455,-1.159011928,0.099229582,-1.080710557,0.1552995,1.834917389,-0.764517475,-0.764568339,1.179676818,1.502753073,-2.458946644,-0.473561643,0.519064481,0.644952117,0.435505765,-0.457122378,0.098142634,0.15084305,0.735932973,0.083884243,-0.014182074,-0.401418385,0.384895559,0.059093933,0.014596904,99.78,0
63327,-1.140305019,0.948696175,0.838403483,0.112758684,0.217452964,-0.127864415,0.143332784,0.534358158,-0.907731392,-0.19506931,1.063746437,0.330012861,-0.789817209,0.998537488,0.743150567,-0.010449719,0.046525264,-0.345282811,0.997110888,-0.131275289,-0.26869084,-1.155550428,0.15941573,-0.352550667,-0.70385579,0.025674061,-0.339023293,0.092286393,5.95,0
32269,-0.764785715,1.011894728,1.559989487,-0.102886239,0.21787682,-1.001488535,1.180377112,-0.346206889,-0.300737299,-0.030269789,-0.599627655,-1.059774479,-1.571959529,0.337156606,0.861484141,-0.16238594,-0.252787682,-0.158661323,0.126651556,0.10007502,-0.104103706,-0.161844858,-0.358845948,0.370818004,0.457729926,0.382184622,-0.075006595,-0.105612866,20.97,0
80713,1.283137581,1.298469963,-1.792008576,1.529033253,1.091286953,-1.543275721,0.774814846,-0.362536508,-0.433060655,-1.553446845,0.398673078,-0.573552981,0.083730383,-3.435176679,1.092593212,1.174618197,2.518617334,1.479179813,-0.650875594,-0.012009797,-0.241728545,-0.585918012,-0.271563448,-0.43592259,0.928688774,-0.263740134,0.040213288,0.092179678,0.89,0
79942,-0.713597419,1.396220644,0.448154767,0.806715003,0.287179374,-0.645181819,0.754106957,0.191738384,-1.013214222,-0.296548831,-0.842511916,0.689195694,1.636051348,0.395178837,0.709320725,-0.261133041,-0.222715699,-0.018895455,0.647196735,0.226903415,0.109704322,0.341782757,-0.102332897,-0.079429423,-0.037157954,-0.326923573,0.287323431,0.146024765,37.7,0
128738,2.038750058,-0.159487502,-1.096570367,0.425224028,-0.214944413,-1.151940331,0.107111603,-0.250273438,0.701067466,0.092863071,-0.872903926,-0.109839334,-1.007940432,0.495529457,0.205621711,-0.112675021,-0.170367752,-0.825894143,0.079154965,-0.284541384,-0.291320271,-0.766838367,0.353433075,-0.042129183,-0.352271333,0.203877802,-0.075909556,-0.061540404,8.99,0
